mc_run_id,sex,diet_group, mean_ghgs   , mean_land   , mean_watscar, mean_eut    , mean_watuse 
1,male,vegan,  2.796317322,  4.89043135 , 16497.81153 , 15.73247839 ,  568.1544685
1,female,veggie,  5.044961397,  8.595095479, 11373.04807 , 19.64906938 ,  561.6202575
1,female,veggie,  5.013051243,  8.592246129, 12383.62599 , 19.93911838 ,  581.8329618
1,female,veggie,  4.923634992,  8.53474324 , 13148.58695 , 20.01537118 ,  589.9121733
1,female,veggie,  4.78945956 ,  8.317550857, 14239.46527 , 19.89408556 ,  596.5714896
1,female,veggie,  4.939143092,  8.501173667, 15360.88945 , 20.35890007 ,  621.139223 
1,female,veggie,  5.090923037,  8.933203779, 16603.9833  , 19.95210973 ,  632.7394091
1,male,veggie,  5.883936267,  9.788368226, 13347.2568  , 21.84219845 ,  647.6116609
1,male,veggie,  5.672870907,  9.456494862, 13633.85359 , 21.43742953 ,  631.5219366
1,male,veggie,  5.342407752,  9.025832428, 14281.28437 , 20.96099603 ,  628.730439 
1,male,veggie,  5.046417062,  8.766393566, 14520.83342 , 19.71753101 ,  590.4620162
1,male,veggie,  5.084723451,  8.897775021, 15893.02546 , 20.31730309 ,  627.6457582
1,male,veggie,  5.392095299,  9.438523264, 17470.86392 , 20.57051031 ,  652.6069805
2,female,fish,  4.428025171,  6.842433501, 15399.48381 , 23.44381885 ,  845.7187134
2,female,fish,  4.445390459,  6.863940941, 15683.35856 , 23.4313769  ,  819.8863051
2,female,fish,  4.487860844,  6.957114921, 15906.34014 , 23.23726849 ,  788.0590146
2,female,fish,  4.576403514,  6.967915359, 16643.28471 , 23.90922374 ,  822.1563166
2,female,fish,  4.699627657,  7.251238098, 17643.23115 , 24.55052982 ,  855.4279062
2,female,fish,  4.635637842,  7.223385112, 18046.21137 , 23.74405903 ,  807.0346899
2,male,fish,  5.087122014,  7.723894506, 16893.36502 , 27.66914773 ,  920.5015985
2,male,fish,  4.759447029,  7.43382125 , 16300.35084 , 25.69673343 ,  889.010904 
2,male,fish,  4.681114878,  7.143644272, 16291.18998 , 24.83401197 ,  817.7298422
2,male,fish,  4.688015271,  7.044369475, 16630.51266 , 24.38739922 ,  819.1022265
2,male,fish,  4.779983187,  7.317518424, 17348.94135 , 24.42294831 ,  837.4998189
2,male,fish,  4.924783975,  7.576396022, 18461.89324 , 25.74865103 ,  830.5188231
2,female,meat50,  4.766742623,  7.420713068, 15279.44374 , 25.07072573 ,  813.5105353
